input_size time
1357 16.6
2712 6.4
4067 4.4
5422 9.4
6777 7.6
8132 13.8
9487 16.6
10842 20.2
12197 23.4
13552 20.2
14907 27.8
16262 28.4
17617 34.0
18972 49.8
20327 46.0
21682 49.8
23037 45.4
24392 54.0
25747 59.6
27102 62.2
28457 101.2
29812 87.8
31167 83.0
32522 92.0
33877 92.4
35232 106.2
36587 112.6
37942 136.6
39297 139.6
40652 139.6
42007 144.2
43362 155.6
44717 168.4
46072 188.6
47427 194.6
48782 200.8
50137 212.2
51492 216.2
52847 224.6
54202 263.4
55557 250.0
56912 268.4
58267 277.8
59622 315.0
60977 299.0
62332 308.4
63687 320.8
65042 349.6
66397 356.8
67752 357.0
69107 372.4
70462 386.4
71817 405.8
73172 422.4
74527 429.2
75882 460.4
77237 454.6
78592 490.8
79947 539.2
81302 519.8
82657 533.0
84012 536.4
85367 565.0
86722 582.4
88077 595.0
89432 615.8
90787 646.0
92142 639.8
93497 671.6
94852 703.8
96207 704.0
97562 712.8
98917 744.2
100272 764.2
101627 780.6
102982 806.6
104337 830.0
105692 838.8
107047 874.0
108402 890.0
109757 984.0
111112 933.4
112467 967.8
113822 990.8
115177 1017.8
116532 1033.6
117887 1046.6
119242 1089.0
120597 1091.4
121952 1105.2
123307 1135.8
124662 1214.6
126017 1182.0
127372 1228.6
128727 1241.4
130082 1277.6
131437 1334.8
132792 1338.4
134147 1370.0
135502 1369.2
136857 1408.6
138212 1473.2
139567 1468.6
140922 1487.4
142277 1507.0
143632 1535.0
144987 1594.0
146342 1621.2
147697 1616.4
149052 1636.6
150407 1705.8
151762 1726.0
153117 1749.0
154472 1779.8
155827 1816.0
157182 1843.8
158537 1865.2
159892 1908.6
161247 1940.0
162602 1980.8
163957 2039.0
165312 2033.2
166667 2071.2
168022 2085.0
169377 2144.4
170732 2181.2
172087 2198.6
173442 2224.4
174797 2257.4
176152 2325.4
177507 2340.4
178862 2371.0
180217 2423.8
181572 2445.0
182927 2503.8
184282 2520.2
185637 2550.0
186992 2600.4
188347 2642.2
189702 2661.6
191057 2725.6
192412 2758.0
193767 2798.0
195122 2824.6
196477 2840.6
197832 2926.2
199187 2983.0
200542 2990.8
201897 3047.0
203252 3084.2
